,alpha,beta,gamma,w_line,w_edge,sigma,iou,acc
62,0.015,20.0,0.001,0.5,0.0,1.0,0.8414959907531738,0.6610169491525424
63,0.015,20.0,0.001,0.5,0.0,3.0,0.8461912870407104,0.6711864406779661
64,0.015,20.0,0.001,0.5,1.0,1.0,0.8447521924972534,0.6542372881355932
65,0.015,20.0,0.001,0.5,1.0,3.0,0.8393994569778442,0.6627118644067796
66,0.015,20.0,0.001,0.0,-1.0,1.0,0.8226947784423828,0.6338983050847458
67,0.015,20.0,0.001,0.0,-1.0,3.0,0.8406673669815063,0.6322033898305085
68,0.015,20.0,0.001,0.0,0.0,1.0,0.4651931822299957,0.7067796610169491
69,0.015,20.0,0.001,0.0,0.0,3.0,0.4651931822299957,0.7067796610169491
70,0.015,20.0,0.001,0.0,1.0,1.0,0.8109490275382996,0.6271186440677966
71,0.015,20.0,0.001,0.0,1.0,3.0,0.7924247980117798,0.6322033898305085
72,0.015,20.0,0.01,-1.0,-1.0,1.0,0.7940941452980042,0.6728813559322034
73,0.015,20.0,0.01,-1.0,-1.0,3.0,0.661788821220398,0.6440677966101694
74,0.015,20.0,0.01,-1.0,0.0,1.0,0.744478166103363,0.6067796610169491
75,0.015,20.0,0.01,-1.0,0.0,3.0,0.6600469350814819,0.6440677966101694
76,0.015,20.0,0.01,-1.0,1.0,1.0,0.7517765760421753,0.6237288135593221
77,0.015,20.0,0.01,-1.0,1.0,3.0,0.6595933437347412,0.6423728813559322
78,0.015,20.0,0.01,0.5,-1.0,1.0,0.837527871131897,0.6338983050847458
79,0.015,20.0,0.01,0.5,-1.0,3.0,0.8547155857086182,0.6711864406779661
80,0.015,20.0,0.01,0.5,0.0,1.0,0.8448221683502197,0.6627118644067796
81,0.015,20.0,0.01,0.5,0.0,3.0,0.8534342050552368,0.6728813559322034
82,0.015,20.0,0.01,0.5,1.0,1.0,0.8300269246101379,0.6322033898305085
83,0.015,20.0,0.01,0.5,1.0,3.0,0.8403577208518982,0.6610169491525424
84,0.015,20.0,0.01,0.0,-1.0,1.0,0.822704017162323,0.6338983050847458
85,0.015,20.0,0.01,0.0,-1.0,3.0,0.8260188698768616,0.635593220338983
86,0.015,20.0,0.01,0.0,0.0,1.0,0.8223980665206909,0.6372881355932203
87,0.015,20.0,0.01,0.0,0.0,3.0,0.8223980665206909,0.6372881355932203
88,0.015,20.0,0.01,0.0,1.0,1.0,0.8182269334793091,0.6271186440677966
89,0.015,20.0,0.01,0.0,1.0,3.0,0.8186137676239014,0.6288135593220339
90,0.015,20.0,0.005,-1.0,-1.0,1.0,0.7947717905044556,0.6745762711864407
91,0.015,20.0,0.005,-1.0,-1.0,3.0,0.6616181135177612,0.6457627118644068
92,0.015,20.0,0.005,-1.0,0.0,1.0,0.7448042631149292,0.6067796610169491
93,0.015,20.0,0.005,-1.0,0.0,3.0,0.659916877746582,0.6457627118644068
94,0.015,20.0,0.005,-1.0,1.0,1.0,0.7837024927139282,0.6169491525423729
95,0.015,20.0,0.005,-1.0,1.0,3.0,0.6579800844192505,0.6440677966101694
96,0.015,20.0,0.005,0.5,-1.0,1.0,0.8385716676712036,0.6322033898305085
97,0.015,20.0,0.005,0.5,-1.0,3.0,0.851825475692749,0.6694915254237288
98,0.015,20.0,0.005,0.5,0.0,1.0,0.8439054489135742,0.6627118644067796
99,0.015,20.0,0.005,0.5,0.0,3.0,0.8519108891487122,0.6711864406779661
100,0.015,20.0,0.005,0.5,1.0,1.0,0.8285830020904541,0.6322033898305085
101,0.015,20.0,0.005,0.5,1.0,3.0,0.8401837348937988,0.6610169491525424
102,0.015,20.0,0.005,0.0,-1.0,1.0,0.8235048651695251,0.6338983050847458
103,0.015,20.0,0.005,0.0,-1.0,3.0,0.8323997259140015,0.635593220338983
104,0.015,20.0,0.005,0.0,0.0,1.0,0.6707385778427124,0.7067796610169491
105,0.015,20.0,0.005,0.0,0.0,3.0,0.6707385778427124,0.7067796610169491
106,0.015,20.0,0.005,0.0,1.0,1.0,0.8122472763061523,0.6305084745762712
107,0.015,20.0,0.005,0.0,1.0,3.0,0.809571385383606,0.6271186440677966
108,0.015,30.0,0.001,-1.0,-1.0,1.0,0.7899326086044312,0.6711864406779661
109,0.015,30.0,0.001,-1.0,-1.0,3.0,0.6412844657897949,0.6610169491525424
110,0.015,30.0,0.001,-1.0,0.0,1.0,0.7488653659820557,0.6627118644067796
111,0.015,30.0,0.001,-1.0,0.0,3.0,0.6390091776847839,0.6610169491525424
112,0.015,30.0,0.001,-1.0,1.0,1.0,0.7522469162940979,0.6254237288135593
113,0.015,30.0,0.001,-1.0,1.0,3.0,0.636752724647522,0.6610169491525424
114,0.015,30.0,0.001,0.5,-1.0,1.0,0.8354693651199341,0.635593220338983
115,0.015,30.0,0.001,0.5,-1.0,3.0,0.8470840454101562,0.6677966101694915
116,0.015,30.0,0.001,0.5,0.0,1.0,0.8445867300033569,0.6610169491525424
117,0.015,30.0,0.001,0.5,0.0,3.0,0.8517664670944214,0.6711864406779661
118,0.015,30.0,0.001,0.5,1.0,1.0,0.8360351324081421,0.6389830508474577
119,0.015,30.0,0.001,0.5,1.0,3.0,0.849980354309082,0.6677966101694915
120,0.015,30.0,0.001,0.0,-1.0,1.0,0.8247659206390381,0.6338983050847458
121,0.015,30.0,0.001,0.0,-1.0,3.0,0.8425856232643127,0.6322033898305085
122,0.015,30.0,0.001,0.0,0.0,1.0,0.4641701877117157,0.7067796610169491
123,0.015,30.0,0.001,0.0,0.0,3.0,0.4641701877117157,0.7067796610169491
124,0.015,30.0,0.001,0.0,1.0,1.0,0.8211667537689209,0.6254237288135593
